Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3646117283490133
75% Corpus,2,0.01,0.31,0.3737429156925314
75% Corpus,2,0.01,0.61,0.37374291569253143
75% Corpus,2,0.01,0.9099999999999999,0.37374291569253143
75% Corpus,2,0.01,symmetric,0.37374291569253143
75% Corpus,2,0.31,0.01,0.36461172834901323
75% Corpus,2,0.31,0.31,0.3618367512092314
75% Corpus,2,0.31,0.61,0.37374291569253143
75% Corpus,2,0.31,0.9099999999999999,0.3582834137085871
75% Corpus,2,0.31,symmetric,0.36633525386402527
75% Corpus,2,0.61,0.01,0.36461172834901323
75% Corpus,2,0.61,0.31,0.3604271573386162
75% Corpus,2,0.61,0.61,0.37374291569253143
75% Corpus,2,0.61,0.9099999999999999,0.37374291569253143
75% Corpus,2,0.61,symmetric,0.3765178928323132
75% Corpus,2,0.9099999999999999,0.01,0.36461172834901323
75% Corpus,2,0.9099999999999999,0.31,0.3569711769505749
75% Corpus,2,0.9099999999999999,0.61,0.36173939409662836
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3604271573386162
75% Corpus,2,0.9099999999999999,symmetric,0.3589068245799364
75% Corpus,2,symmetric,0.01,0.3646117283490133
75% Corpus,2,symmetric,0.31,0.37651789283231324
75% Corpus,2,symmetric,0.61,0.3765178928323133
75% Corpus,2,symmetric,0.9099999999999999,0.36173939409662836
75% Corpus,2,symmetric,symmetric,0.37374291569253143
75% Corpus,2,asymmetric,0.01,0.36461172834901323
75% Corpus,2,asymmetric,0.31,0.3618367512092314
75% Corpus,2,asymmetric,0.61,0.3699386943844929
75% Corpus,2,asymmetric,0.9099999999999999,0.3604271573386162
75% Corpus,2,asymmetric,symmetric,0.36993869438449284
75% Corpus,3,0.01,0.01,0.4845360660161284
75% Corpus,3,0.01,0.31,0.4741815200499328
75% Corpus,3,0.01,0.61,0.4779987085440096
75% Corpus,3,0.01,0.9099999999999999,0.4905955393895005
75% Corpus,3,0.01,symmetric,0.4741815200499328
75% Corpus,3,0.31,0.01,0.4845360660161284
75% Corpus,3,0.31,0.31,0.4845360660161284
75% Corpus,3,0.31,0.61,0.48852903851516083
75% Corpus,3,0.31,0.9099999999999999,0.4905955393895005
75% Corpus,3,0.31,symmetric,0.4741815200499328
75% Corpus,3,0.61,0.01,0.4727234950074484
75% Corpus,3,0.61,0.31,0.46591473623489915
75% Corpus,3,0.61,0.61,0.4780770092086117
75% Corpus,3,0.61,0.9099999999999999,0.47807700920861157
75% Corpus,3,0.61,symmetric,0.4784623457906722
75% Corpus,3,0.9099999999999999,0.01,0.4910152801874605
75% Corpus,3,0.9099999999999999,0.31,0.4780770092086117
75% Corpus,3,0.9099999999999999,0.61,0.4905955393895005
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.47807700920861157
75% Corpus,3,0.9099999999999999,symmetric,0.4780770092086117
75% Corpus,3,symmetric,0.01,0.4676582895009265
75% Corpus,3,symmetric,0.31,0.4845360660161284
75% Corpus,3,symmetric,0.61,0.4741011995068241
75% Corpus,3,symmetric,0.9099999999999999,0.47192373985235897
75% Corpus,3,symmetric,symmetric,0.4846002397576179
75% Corpus,3,asymmetric,0.01,0.47807700920861157
75% Corpus,3,asymmetric,0.31,0.47192373985235897
75% Corpus,3,asymmetric,0.61,0.4780770092086117
75% Corpus,3,asymmetric,0.9099999999999999,0.4780770092086117
75% Corpus,3,asymmetric,symmetric,0.4846002397576179
75% Corpus,4,0.01,0.01,0.5073816466266298
75% Corpus,4,0.01,0.31,0.5038827779498615
75% Corpus,4,0.01,0.61,0.4926068888528862
